	number	user_login	created_at	closed_at	merged_at	title
211	241	mengqiy	2018-02-01 22:03:50	2018-02-02 17:00:16	2018-02-02 17:00:16	multitransformer
212	240	apelisse	2018-02-01 18:01:52	2018-02-05 18:28:11	2018-02-05 18:28:11	kinflate: Manifest type improvements
213	239	apelisse	2018-01-31 19:47:24	2018-01-31 22:40:06	2018-01-31 22:40:06	Apelisse droot seans3
214	238	monopole	2018-01-31 17:54:00	2018-01-31 18:57:10	2018-01-31 18:57:10	Init writes only a manifest to the current dir.
215	237	monopole	2018-01-31 00:09:30	2018-01-31 00:39:04	2018-01-31 00:39:04	More addresource code
216	236	monopole	2018-01-30 22:47:34	2018-01-30 22:51:10	2018-01-30 22:51:10	start addresource command
217	235	apelisse	2018-01-30 22:14:39	2018-01-31 18:54:12	2018-01-31 18:54:12	kinflate: Create AddConfigMap structure
218	234	mengqiy	2018-01-30 21:09:33	2018-01-30 21:14:08	2018-01-30 21:14:08	real kinflate init
219	233	monopole	2018-01-30 19:16:37	2018-01-30 19:32:07	2018-01-30 19:32:07	Tweak the fakes, add a test of fake.
220	232	mengqiy	2018-01-30 17:53:28	2018-01-30 18:11:06	2018-01-30 18:11:06	add mock fs and file for testing
221	231	monopole	2018-01-29 23:43:16	2018-01-29 23:50:35	2018-01-29 23:50:35	Add init command.
222	230	mengqiy	2018-01-29 20:58:24	2018-01-29 21:03:32	2018-01-29 21:03:32	delete dead code
223	229	mengqiy	2018-01-26 23:04:11	2018-01-27 00:33:32	2018-01-27 00:33:32	fix name ref issue
224	228	dls314	2018-01-26 21:02:01	2018-01-29 19:20:08		Update plugin_client.go
225	225	mengqiy	2018-01-24 22:23:50	2018-01-26 21:37:32	2018-01-26 21:37:32	Rebase kinflate on new utils
226	223	apelisse	2018-01-24 17:21:43	2018-02-07 18:15:48	2018-02-07 18:15:48	Remove pkg/framework/test that has moved to https://github.com/kubern…
227	222	mengqiy	2018-01-24 02:10:08	2018-01-24 22:18:39	2018-01-24 22:18:39	fix golink and refactor test
228	220	ant31	2018-01-23 15:41:29	2018-02-09 00:18:27		kinflate: Separate 'resources' from 'packages'
229	219	mengqiy	2018-01-23 01:08:43	2018-01-24 22:57:31	2018-01-24 22:57:31	util to update name reference
230	218	mengqiy	2018-01-22 19:03:32	2018-01-24 01:04:31	2018-01-24 01:04:31	additional labels and annotations util
